user,avg_rating,min_rating,max_rating,rating_volatility,avg_rating_change,win_rate,total_games,pct_bullet,pct_blitz,pct_rapid,pct_classical,first_game,last_game,days_active,rating_tier,activity_level,preferred_time_control
Big_Boom007,3150.9,3142,3158,4.3,-0.73,0.8,15,1,0,0,0,2025-10-06T18:55:13Z,2025-10-09T19:37:04Z,3.029056331018607,Expert,Medium,Bullet
BabaRamdev,3150.2,3139,3158,5.5,0.07,0.7,15,1,0,0,0,2025-10-01T23:34:47Z,2025-10-11T23:56:53Z,10.015344571758199,Expert,Medium,Bullet
wizard98,3139.1,3124,3156,10.5,-0.73,0.667,15,1,0,0,0,2025-10-08T06:26:32Z,2025-10-15T17:42:33Z,7.469456793983225,Expert,Medium,Bullet
RakitinD,3130.1,3117,3146,10.8,-2.4,0.7,15,1,0,0,0,2025-10-15T15:01:05Z,2025-10-15T15:18:38Z,0.012189212962985039,Expert,Medium,Bullet
schoberstein,3126,3109,3139,9.5,1.47,0.8,15,1,0,0,0,2025-10-11T15:46:51Z,2025-10-15T10:07:44Z,3.764496967593829,Expert,Medium,Bullet
delta_horsey,3124.8,2957,3239,117.6,5.4,0.867,15,0.667,0.333,0,0,2025-10-16T02:01:26Z,2025-10-16T02:56:14Z,0.03806181712834923,Expert,Medium,Bullet
ManuDavid2910,3121.8,3110,3129,5.5,0.53,0.7,15,1,0,0,0,2025-10-14T16:48:48Z,2025-10-16T00:38:23Z,1.3261003472214496,Expert,Medium,Bullet
BMWHero,3118.4,3095,3142,12.9,0.33,0.733,15,1,0,0,0,2025-10-03T14:17:04Z,2025-10-14T14:29:17Z,11.008479444442523,Expert,Medium,Bullet
Aronyak1,3112.5,3097,3125,8.1,-1.2,0.633,15,1,0,0,0,2025-10-15T16:51:43Z,2025-10-15T19:47:08Z,0.1218245601847216,Expert,Medium,Bullet
Zhigalko_Sergei,3110.9,2792,3205,163.8,2.93,1,15,0.8,0.2,0,0,2025-10-13T23:00:53Z,2025-10-15T00:04:22Z,1.0440818981467574,Expert,Medium,Bullet
dmitrij_IM,3108.9,3102,3115,3.8,1.13,0.8,15,1,0,0,0,2025-09-25T17:59:07Z,2025-10-15T11:06:51Z,19.713696689812675,Expert,Medium,Bullet
sportik_shark,3108.3,3090,3123,8.9,1,0.8,15,1,0,0,0,2025-10-13T14:25:26Z,2025-10-15T14:34:17Z,2.006150011572021,Expert,Medium,Bullet
DONOTREDEEM,3099.9,3092,3108,5,-0.73,0.633,15,1,0,0,0,2025-10-13T18:33:21Z,2025-10-13T19:27:56Z,0.037902743057520304,Expert,Medium,Bullet
dauANHbac,3099.8,2885,3169,107.7,3.2,0.833,15,0.8,0.2,0,0,2025-10-07T13:39:38Z,2025-10-10T14:03:19Z,3.016452476851366,Expert,Medium,Bullet
ABachmann,3098.9,3088,3112,7,0.67,0.7,15,1,0,0,0,2025-10-02T02:55:02Z,2025-10-15T20:20:11Z,13.725793680554187,Expert,Medium,Bullet
Crush09,3098.2,3072,3113,13.7,-1.87,0.467,15,1,0,0,0,2025-10-15T00:04:41Z,2025-10-15T19:09:08Z,0.7947562731471327,Expert,Medium,Bullet
woshigeshagua,3092.6,2840,3131,70.4,-1.6,0.533,15,0.933,0.067,0,0,2025-10-05T08:08:55Z,2025-10-12T08:49:49Z,7.02840866898221,Expert,Medium,Bullet
Mlchael,3089.1,3075,3105,8.9,1.73,0.7,15,1,0,0,0,2025-10-03T06:23:30Z,2025-10-13T03:48:58Z,9.892682187499272,Expert,Medium,Bullet
Firephoenix05,3086.4,3052,3106,15.2,-0.6,0.667,15,1,0,0,0,2025-09-14T05:39:05Z,2025-10-15T10:54:42Z,31.219177488425263,Expert,Medium,Bullet
SIDDHARTH_CHESS,3084.9,3069,3101,8.9,-1.27,0.533,15,1,0,0,0,2025-10-16T01:05:57Z,2025-10-16T01:19:25Z,0.00936160879554572,Expert,Medium,Bullet
ArtemChessRU,3083.7,3066,3101,9.8,-0.73,0.5,15,1,0,0,0,2025-10-11T20:04:07Z,2025-10-12T11:08:20Z,0.6279304398154771,Expert,Medium,Bullet
ARMJoker,3082.7,3056,3093,11.1,-2,0.267,15,1,0,0,0,2025-10-09T08:03:52Z,2025-10-15T09:49:40Z,6.073469328703704,Expert,Medium,Bullet
Saparmyrat,3082.4,2739,3113,95.1,0,0.6,15,0.933,0.067,0,0,2025-09-27T15:30:00Z,2025-10-14T04:18:15Z,16.53349991898018,Expert,Medium,Bullet
Tsoi_Dima,3078.1,2901,3130,89.7,0.53,0.6,15,0.8,0.2,0,0,2025-10-03T23:57:22Z,2025-10-11T00:17:38Z,7.014072118053834,Expert,Medium,Bullet
Eduiturri,3076.8,3054,3093,10.7,-0.67,0.6,15,1,0,0,0,2025-08-05T13:35:36Z,2025-10-12T20:27:21Z,68.28593861111061,Expert,Medium,Bullet
Mellow_Monster,3067.6,3052,3080,8.5,-1.13,0.567,15,1,0,0,0,2025-10-15T22:14:37Z,2025-10-16T00:20:25Z,0.08736756944545992,Expert,Medium,Bullet
Avaada_kedavra,3067.5,2903,3126,81.7,5.73,0.867,15,0.8,0.2,0,0,2025-08-25T22:40:53Z,2025-10-01T00:32:55Z,36.07780341435086,Expert,Medium,Bullet
ArysyaPiter,3066.3,3060,3080,5.2,-1.6,0.733,15,1,0,0,0,2025-10-15T16:16:45Z,2025-10-15T16:55:21Z,0.026803518517149818,Expert,Medium,Bullet
pressive,3058.2,2636,3106,117.5,3.33,0.867,15,0.933,0,0.067,0,2025-08-04T09:35:03Z,2025-08-12T11:51:00Z,8.094407476851785,Expert,Medium,Bullet
NeonAssassin777,3048.4,2113,3131,258.9,2.67,0.733,15,0.933,0,0.067,0,2025-10-10T23:21:55Z,2025-10-15T16:25:30Z,4.710817604167042,Expert,Medium,Bullet
BelBelTT,3048.3,3041,3061,5.6,1.33,0.467,15,1,0,0,0,2025-10-01T21:49:06Z,2025-10-13T08:50:14Z,11.459127835647928,Expert,Medium,Bullet
Kurald_Galain,3047.3,3047,3048,0.5,0.07,1,15,1,0,0,0,2025-10-15T07:20:49Z,2025-10-15T10:24:13Z,0.12736055555718917,Expert,Medium,Bullet
L04d1ng,3044.1,3031,3062,9,1.07,0.767,15,1,0,0,0,2025-10-15T16:16:18Z,2025-10-15T18:38:22Z,0.09865679398179054,Expert,Medium,Bullet
Dvinik63,3035.9,2539,3080,137.6,-3.27,0.6,15,0.933,0.067,0,0,2025-07-29T18:47:37Z,2025-10-15T13:56:53Z,77.7980932638877,Expert,Medium,Bullet
Arash-Tahbaz,3033.9,2757,3088,112.2,0.4,0.667,15,0.867,0.133,0,0,2025-10-10T17:50:18Z,2025-10-15T13:38:18Z,4.8250063657401885,Expert,Medium,Bullet
Dr_mARtIk,3031,3020,3040,5.9,-0.6,0.5,15,1,0,0,0,2025-10-15T20:25:01Z,2025-10-15T23:23:14Z,0.12375792824007846,Expert,Medium,Bullet
doughnut42,3022.5,3017,3027,2.8,0.27,0.933,15,1,0,0,0,2025-10-16T00:05:38Z,2025-10-16T00:21:26Z,0.010976608798459724,Expert,Medium,Bullet
Shant7777777,3013.5,2832,3216,189.6,2.4,0.933,15,0.467,0.533,0,0,2025-10-04T13:17:01Z,2025-10-14T18:16:40Z,10.208098194444622,Expert,Medium,Bullet
HomayooonT,3010.7,2833,3202,158.7,6.8,0.967,15,0.4,0.467,0.133,0,2025-09-28T22:42:13Z,2025-10-11T14:12:30Z,12.646037916668035,Expert,Medium,Blitz
Yakov25,2994,2989,2999,3.2,0.73,1,15,1,0,0,0,2025-02-23T06:44:48Z,2025-02-23T09:04:32Z,0.09703446759393922,Expert,Medium,Bullet
Kydravets-Mark19,2987.1,2972,2997,7.6,-1.67,0.367,15,1,0,0,0,2025-10-15T09:23:57Z,2025-10-15T17:06:37Z,0.32130274305465045,Expert,Medium,Bullet
aspiringstar,2969.7,2954,2982,8.5,2,0.967,15,0,1,0,0,2025-10-04T00:52:30Z,2025-10-15T23:55:33Z,11.960458333334989,Expert,Medium,Blitz
JustAHarmlessDuck,2968.8,2951,3000,15.9,3.8,0.667,15,1,0,0,0,2025-07-21T03:03:05Z,2025-10-13T18:25:54Z,84.6408446296277,Expert,Medium,Bullet
Turboplombir,2963.5,2681,3081,170.9,2.13,0.7,15,0.733,0.267,0,0,2025-10-11T21:02:38Z,2025-10-13T14:10:59Z,1.7141318402798087,Expert,Medium,Bullet
Parakon1,2963.3,2756,3180,203.8,1.33,0.767,15,0.467,0.533,0,0,2025-10-03T14:59:46Z,2025-10-12T20:10:52Z,9.216042106479959,Expert,Medium,Bullet
edgelorde,2960.4,2921,2998,21.1,1.47,0.833,15,1,0,0,0,2025-05-21T09:06:36Z,2025-06-21T06:15:03Z,30.88086240740838,Expert,Medium,Bullet
skilledassassin04,2955.2,2927,2987,19.8,-4.33,0.233,15,1,0,0,0,2025-10-14T17:39:15Z,2025-10-15T23:25:30Z,1.2404511342583984,Expert,Medium,Bullet
gefuehlter_FM,2947,2843,3067,108.6,1.67,0.867,15,0.467,0.533,0,0,2025-10-13T18:03:48Z,2025-10-15T10:31:15Z,1.685725428238511,Expert,Medium,Bullet
MereseBerserkNhi,2945.7,2936,2953,5.1,-1,0.333,15,1,0,0,0,2025-10-12T08:39:41Z,2025-10-15T10:20:58Z,3.0703342708310597,Expert,Medium,Bullet
Benbasat,2940.9,2675,3038,153.3,4.13,0.9,15,0.733,0.267,0,0,2025-10-15T10:40:01Z,2025-10-15T17:46:19Z,0.29604732638707865,Expert,Medium,Bullet
abudabi22840,2939.5,2934,2949,5,1.07,0.967,15,0,1,0,0,2025-10-12T16:23:17Z,2025-10-14T06:57:48Z,1.6072927893505051,Expert,Medium,Blitz
UnholyCrusade,2933.1,2913,2944,8.2,-2,0.433,15,1,0,0,0,2025-09-06T20:23:26Z,2025-09-06T20:38:23Z,0.010380219908224212,Expert,Medium,Bullet
MaximEvdo,2932.5,2928,2941,3.9,0.6,0.767,15,1,0,0,0,2025-10-14T13:41:39Z,2025-10-15T10:34:25Z,0.8699687615754428,Expert,Medium,Bullet
athena-pallada,2928.5,2918,2940,5.8,0.87,0.867,15,0,1,0,0,2025-10-14T16:21:52Z,2025-10-15T16:51:15Z,1.0204093171269806,Expert,Medium,Blitz
Zjm0312,2927.6,2784,3081,143.9,2.33,0.867,15,0.467,0.533,0,0,2025-10-14T03:10:11Z,2025-10-16T01:56:06Z,1.948557488427118,Expert,Medium,Bullet
Marek_Religa,2924.7,2912,2941,8,1.6,0.667,15,1,0,0,0,2025-10-15T18:11:03Z,2025-10-15T18:49:07Z,0.026437083333730696,Expert,Medium,Bullet
Brastrodamus,2922.4,2915,2929,4.3,0.53,0.533,15,1,0,0,0,2025-10-13T11:25:40Z,2025-10-13T13:11:19Z,0.0733711805553348,Expert,Medium,Bullet
impogthefunnyfrog,2913.5,2899,2932,9.8,1.73,0.833,15,1,0,0,0,2025-09-06T21:09:44Z,2025-10-08T02:22:49Z,31.21741870370452,Expert,Medium,Bullet
Best_player3,2912.7,2901,2926,7.8,1.27,0.667,15,1,0,0,0,2025-10-15T16:33:34Z,2025-10-15T17:08:48Z,0.024462361109477502,Expert,Medium,Bullet
RebeccaHarris,2912.7,2831,3207,151,0.07,0.633,15,0.2,0.8,0,0,2025-09-20T20:55:53Z,2025-10-11T19:38:53Z,20.946527974539332,Expert,Medium,Blitz
DrTigerTAD,2909,2902,2917,4,0.33,0.267,15,1,0,0,0,2025-10-15T21:44:07Z,2025-10-15T22:08:56Z,0.017227465278572506,Expert,Medium,Bullet
NightOFzero,2907.6,2590,2998,159.7,1.47,0.767,15,0.8,0,0.2,0,2025-10-12T16:00:19Z,2025-10-14T14:05:40Z,1.9203853009254843,Expert,Medium,Bullet
BenjiTheAce,2895.7,2877,2910,8.9,1.6,0.7,15,1,0,0,0,2025-10-01T11:16:17Z,2025-10-03T10:59:50Z,1.9885845370369928,Expert,Medium,Bullet
blitzbullet,2893.8,2880,2902,6.2,0,0.467,15,1,0,0,0,2025-10-13T18:00:42Z,2025-10-14T22:04:13Z,1.1691073611102722,Expert,Medium,Bullet
GRXbullet,2892.5,2879,2900,6.4,0.53,0.8,15,1,0,0,0,2023-04-05T04:22:41Z,2023-04-05T07:26:56Z,0.12794552083368654,Expert,Medium,Bullet
Lu_Shanglei,2891.1,2864,2911,13.4,2.33,0.833,15,0,1,0,0,2025-08-10T07:06:43Z,2025-10-15T15:46:50Z,66.36119325231347,Expert,Medium,Blitz
Krai458,2888.9,2879,2899,6.2,0.2,0.667,15,0,1,0,0,2025-10-10T09:41:33Z,2025-10-14T09:37:32Z,3.997202870371165,Expert,Medium,Blitz
Tulachessroom,2886,2642,2913,67.7,-0.4,0.4,15,0.933,0,0.067,0,2025-10-12T15:49:06Z,2025-10-13T19:40:55Z,1.160990439813446,Expert,Medium,Bullet
tacticthunder,2883.9,2719,3070,171.8,0.07,0.4,15,0.467,0.533,0,0,2025-10-11T20:36:21Z,2025-10-13T22:36:22Z,2.083346828705183,Expert,Medium,Bullet
Christened,2882.1,2870,2889,6.1,1.13,0.867,15,0,1,0,0,2025-10-13T01:10:45Z,2025-10-16T02:29:29Z,3.054677870370172,Expert,Medium,Blitz
Statham_13,2880.8,2856,2897,10.7,2.93,0.433,15,1,0,0,0,2025-10-15T14:50:34Z,2025-10-15T15:07:10Z,0.011528078703968613,Expert,Medium,Bullet
BrokyLoveKFC,2880.1,2786,2930,57.1,3,0.733,15,0.733,0.267,0,0,2025-10-12T01:59:35Z,2025-10-14T06:04:28Z,2.1700615393508365,Expert,Medium,Bullet
VeduChess,2879.5,2855,2897,13,2.93,0.867,15,1,0,0,0,2025-10-15T01:55:33Z,2025-10-16T03:10:36Z,1.052119884259171,Expert,Medium,Bullet
elconceto,2879.2,2850,3024,58.2,0.2,0.7,15,0.133,0.867,0,0,2025-10-13T17:30:06Z,2025-10-15T05:04:44Z,1.4823930902779103,Expert,Medium,Blitz
Speedrunner202,2874.1,2864,2883,5.1,-0.8,0.7,15,0,1,0,0,2025-10-14T21:14:38Z,2025-10-15T03:10:57Z,0.24744143518584746,Expert,Medium,Blitz
josevalencia0698,2873.8,2852,2893,13.3,-0.8,0.6,15,1,0,0,0,2025-10-15T14:58:06Z,2025-10-15T15:23:08Z,0.017386527778925718,Expert,Medium,Bullet
lovely_fella,2872.7,2826,2908,21.4,2.53,0.567,15,0.133,0.867,0,0,2025-10-08T15:46:03Z,2025-10-11T10:12:18Z,2.768232361111376,Expert,Medium,Blitz
LegacyOfBob,2870.5,2748,3127,132.3,3.47,0.6,15,0.2,0.8,0,0,2025-10-09T16:41:56Z,2025-10-14T22:45:10Z,5.2522503125005295,Expert,Medium,Blitz
mygoalis2700,2869.5,2642,3133,243.7,2.87,0.733,15,0.467,0.533,0,0,2025-10-13T19:39:43Z,2025-10-14T03:41:35Z,0.3346327083337086,Expert,Medium,Bullet
iwanttomakedraw,2868,2854,2888,10.3,1.13,0.767,15,0,1,0,0,2025-10-09T21:38:03Z,2025-10-14T19:36:39Z,4.9156908564821435,Expert,Medium,Blitz
FeegLood,2863.8,2858,2880,6.6,-1.67,0.8,15,0,1,0,0,2025-09-20T21:55:28Z,2025-10-09T19:29:23Z,18.89855065972165,Expert,Medium,Blitz
chessmaster2006,2863.4,2843,2886,14.3,2.27,0.767,15,0,1,0,0,2025-10-11T20:09:56Z,2025-10-11T20:57:55Z,0.033326712965413376,Expert,Medium,Blitz
Platy2,2861.2,2844,2885,12.8,0.93,0.567,15,0,1,0,0,2025-10-09T21:12:03Z,2025-10-10T20:33:43Z,0.9733783912024012,Expert,Medium,Blitz
MikeGScarn,2854.9,2797,2895,37.5,0.07,0.667,15,0.533,0.467,0,0,2025-09-04T14:35:06Z,2025-10-14T22:02:01Z,40.31035800925835,Expert,Medium,Bullet
Albinsajan,2851.6,2835,2875,12.7,2.07,0.6,15,1,0,0,0,2025-10-11T10:25:20Z,2025-10-12T12:15:44Z,1.0766663078715404,Expert,Medium,Bullet
Zkid,2849.1,2818,2872,15.3,0.93,0.733,15,0,1,0,0,2025-07-25T23:36:44Z,2025-10-16T03:35:08Z,82.16555248842471,Expert,Medium,Blitz
lovlas,2849.1,2826,2865,12.4,-0.93,0.567,15,1,0,0,0,2025-05-06T22:05:35Z,2025-06-09T11:43:45Z,33.568167337962876,Expert,Medium,Bullet
mysterious_expert,2843.7,2771,3020,89.6,-2.4,0.533,15,0.2,0.8,0,0,2025-08-22T23:38:16Z,2025-10-11T19:34:10Z,49.83048241898142,Expert,Medium,Blitz
TAAnderson,2843.2,2812,2897,23.6,1.27,0.733,15,0.133,0.867,0,0,2025-09-06T16:12:30Z,2025-10-06T20:18:43Z,30.170977835646934,Expert,Medium,Blitz
puziko52,2842.9,2824,2872,15.4,-1.4,0.7,15,0.533,0.467,0,0,2025-09-27T21:22:59Z,2025-10-14T12:54:38Z,16.646986030091842,Expert,Medium,Bullet
Bardiya___Daneshvar,2837.4,2821,2850,7.8,-0.93,0.567,15,0,1,0,0,2025-10-11T20:23:47Z,2025-10-14T11:07:29Z,2.613683437500839,Expert,Medium,Blitz
Kambaskin,2834.7,2802,2851,12,0.07,0.6,15,0.933,0.067,0,0,2025-10-15T06:08:47Z,2025-10-15T14:39:56Z,0.35495899305575423,Expert,Medium,Bullet
raf1310,2832.1,2826,2842,4.7,-0.2,0.267,15,1,0,0,0,2025-10-15T00:21:11Z,2025-10-15T00:48:33Z,0.01901363425784641,Expert,Medium,Bullet
JA_Florendo,2830.7,2799,2867,19.5,-2.13,0.533,15,1,0,0,0,2025-06-14T05:03:46Z,2025-10-14T07:30:13Z,122.10169403935197,Expert,Medium,Bullet
gabendan,2829.1,2775,2883,34.1,5,0.7,15,0.2,0.8,0,0,2025-10-01T15:09:47Z,2025-10-09T14:15:08Z,7.962042777775614,Expert,Medium,Blitz
KAPUTVSEMU,2828.2,2819,2839,6.6,-0.33,0.667,15,0,1,0,0,2025-10-10T22:24:22Z,2025-10-12T14:15:41Z,1.6606374189809516,Expert,Medium,Blitz
AVS2000,2827.1,2813,2849,13.4,-2.2,0.467,15,0,1,0,0,2025-10-02T10:23:21Z,2025-10-13T20:43:54Z,11.430933969906635,Expert,Medium,Blitz
arturchix,2827.1,2813,2842,8.5,1,0.767,15,0,1,0,0,2025-10-07T08:12:09Z,2025-10-13T14:23:41Z,6.258011180554275,Expert,Medium,Blitz
mzh1995,2826.5,2818,2840,5.8,-0.27,0.6,15,0,1,0,0,2025-10-15T08:18:29Z,2025-10-16T02:44:01Z,0.7677316550938068,Expert,Medium,Blitz
TacticalMonkey,2822.9,2816,2830,4.4,-0.4,0.733,15,1,0,0,0,2025-09-21T22:42:40Z,2025-09-29T16:36:07Z,7.745451435184589,Expert,Medium,Bullet
Lintchevski_Daniil,2822.1,2805,2837,10.1,-0.4,0.567,15,0,1,0,0,2025-10-15T21:24:02Z,2025-10-15T22:44:25Z,0.05582299768648766,Expert,Medium,Blitz
Papus1234,2818,2767,3063,99.4,-1.93,0.8,15,0.133,0.867,0,0,2025-10-02T17:24:15Z,2025-10-12T13:34:18Z,9.840313842591865,Expert,Medium,Blitz
Dr_BlindPew,2816.9,2806,2829,7,-1.53,0.567,15,0,1,0,0,2025-10-08T07:13:23Z,2025-10-10T09:39:07Z,2.101201284723701,Expert,Medium,Blitz
N-Chadaev,2813.4,2775,2901,38.4,1,0.633,15,0.2,0.8,0,0,2025-06-30T16:47:31Z,2025-10-10T06:54:56Z,101.58848684027791,Expert,Medium,Blitz
NorrisEthan2006,2813.2,2799,2826,8.5,-1,0.533,15,1,0,0,0,2025-08-29T21:21:06Z,2025-09-20T21:06:26Z,21.989809155091642,Expert,Medium,Bullet
jjosujjosu,2813.1,2351,3084,335.8,-9.13,0.767,15,0.6,0,0.4,0,2025-10-10T00:39:52Z,2025-10-11T18:38:11Z,1.7488290046293427,Expert,Medium,Bullet
yuuki-asuna,2812.7,2603,2899,128.8,2.07,1,15,0.667,0,0.067,0.267,2025-10-08T07:25:28Z,2025-10-15T03:22:03Z,6.8309579513884255,Expert,Medium,Bullet
Kiskar,2812.4,2651,2862,77.8,-1.67,0.533,15,0.8,0.2,0,0,2025-10-06T08:43:23Z,2025-10-14T14:03:56Z,8.222613819442966,Expert,Medium,Bullet
RealDavidNavara,2808.1,2691,2856,50.2,4.73,0.7,15,0,0.733,0.267,0,2025-08-29T02:58:45Z,2025-10-14T12:21:16Z,46.390636689814706,Expert,Medium,Blitz
UntilItIsOtherwise,2807.7,2599,2929,149.6,2,0.833,15,0.667,0,0.333,0,2025-10-09T13:04:27Z,2025-10-14T10:05:04Z,4.875418310184721,Expert,Medium,Bullet
Som2310,2804.4,2782,2820,12.6,-1.67,0.5,15,0,1,0,0,2025-10-09T20:47:08Z,2025-10-15T11:37:31Z,5.618312326390986,Expert,Medium,Blitz
Kaufman_David,2802.9,2794,2811,4.9,-0.27,0.667,15,0,1,0,0,2025-10-11T22:29:04Z,2025-10-12T20:23:22Z,0.9127064930537233,Expert,Medium,Blitz
Ilikeknightmost,2802.6,2782,2819,12.3,1.53,0.833,15,0,0,1,0,2025-09-28T09:14:31Z,2025-10-09T18:36:47Z,11.390464479167152,Expert,Medium,Rapid
Aquiiles,2801.9,2039,3002,317,-18.2,0.767,15,0.6,0.2,0.2,0,2025-04-27T13:54:15Z,2025-08-10T23:12:47Z,105.38786460647981,Expert,Medium,Bullet
paopaomate,2801.4,2793,2810,5,-0.6,0.433,15,0,1,0,0,2025-10-07T14:30:51Z,2025-10-12T13:04:52Z,4.94029387731519,Expert,Medium,Blitz
BENED7707,2801.2,2775,2819,14.3,2.33,0.867,15,0,1,0,0,2025-10-13T10:43:21Z,2025-10-13T13:45:38Z,0.12658341435094675,Expert,Medium,Blitz
Vahe_S,2800.8,2778,2975,48.5,0,0.533,15,0.067,0.933,0,0,2025-09-20T14:50:23Z,2025-10-16T02:49:05Z,25.499099687500685,Expert,Medium,Blitz
Bllitzer11,2798,2787,2812,8.1,0,0.467,15,0,1,0,0,2025-10-03T11:05:22Z,2025-10-13T17:31:43Z,10.268300543979363,Expert,Medium,Blitz
venajalainen,2794.1,2764,2818,16.6,-0.07,0.733,15,0,1,0,0,2025-06-06T17:36:27Z,2025-10-15T14:28:12Z,130.8692690393522,Expert,Medium,Blitz
ivan124,2793.5,2777,2806,8.7,0.8,0.567,15,0,1,0,0,2025-09-27T16:37:50Z,2025-10-15T19:03:28Z,18.10113391203737,Expert,Medium,Blitz
Vladimirovich9000,2792.6,2777,2807,9.8,-1.8,0.5,15,0,1,0,0,2025-10-11T20:16:06Z,2025-10-11T20:56:57Z,0.028375798612833025,Expert,Medium,Blitz
playpuzzlespow,2791.9,2718,2869,36.3,11.33,0.533,15,1,0,0,0,2025-05-26T20:23:21Z,2025-10-04T16:54:57Z,130.85527484953678,Expert,Medium,Bullet
sapphire_phoenix,2790.3,2781,2804,6,1.07,0.767,15,0,1,0,0,2025-10-15T13:30:15Z,2025-10-15T21:16:33Z,0.3238173495371033,Expert,Medium,Blitz
kutiktau,2789.5,2762,2808,12.3,1.27,0.567,15,0,1,0,0,2025-09-16T15:55:37Z,2025-10-12T18:06:54Z,26.091169166667044,Expert,Medium,Blitz
AndrewHoma,2788.5,2710,2835,46.8,-1.53,0.767,15,0,0.667,0.333,0,2025-09-20T20:16:14Z,2025-10-13T10:12:15Z,22.58056572916607,Expert,Medium,Blitz
Dark_Cast1gator,2780.2,2513,3003,245.5,-1.67,0.8,15,0.533,0.467,0,0,2025-10-15T17:51:59Z,2025-10-15T18:25:31Z,0.023282916667284787,Expert,Medium,Bullet
F1nal_Masquerade,2774.9,2760,2793,10.4,1.13,0.533,15,0,1,0,0,2025-10-15T21:34:54Z,2025-10-15T22:44:25Z,0.04827863426120193,Expert,Medium,Blitz
Regisha228,2774.1,2761,2789,8.2,1.07,0.667,15,0,1,0,0,2025-10-12T12:44:11Z,2025-10-14T07:05:57Z,1.7651112962955677,Expert,Medium,Blitz
IGMGataKamsky,2769.6,2752,2788,10.1,-2.4,0.7,15,0,1,0,0,2025-10-02T18:24:27Z,2025-10-02T19:37:15Z,0.05055722222008087,Expert,Medium,Blitz
metan0ia,2760,2677,2801,51.1,1.27,0.667,15,0,0.667,0.333,0,2025-10-05T04:11:30Z,2025-10-16T04:28:48Z,11.012012384257934,Expert,Medium,Blitz
SuperbAmir,2753.1,2691,3003,102.3,2.07,0.767,15,0.133,0.867,0,0,2025-09-01T13:54:55Z,2025-10-12T21:41:07Z,41.32375498842586,Expert,Medium,Blitz
Checkmater47,2750.3,2738,2760,6.3,0.8,0.9,15,1,0,0,0,2025-10-15T18:16:46Z,2025-10-16T03:53:37Z,0.40059474536942113,Expert,Medium,Bullet
Chesspro_2606,2750.3,2674,2772,22.5,-0.2,0.567,15,0.933,0,0.067,0,2025-10-12T03:37:46Z,2025-10-15T12:47:42Z,3.3819003935185847,Expert,Medium,Bullet
