fide_id,player_name,title,country,gender,birth_year,rating_standard,rating_rapid,rating_blitz,games_played,federation_rating,rating_group,age,active_status,performance_category
12708215,Player_Under 1600_0059,None,POL,F,1952,1050,1032,1062,85,1052.6714039910792,Under 1600,73,Inactive,Club Player
11574770,Player_Under 1600_0060,None,ARG,M,1984,1198,1133,1056,81,1246.1502606640092,Under 1600,41,Active,Club Player
56050847,Player_Under 1600_0061,None,ESP,M,1966,847,800,800,47,862.8993845622748,Under 1600,59,Active,Club Player
44419310,Player_Under 1600_0062,None,USA,M,1985,1248,1191,1117,66,1242.7974534665177,Under 1600,40,Active,Club Player
27116663,Player_Under 1600_0063,None,ARG,F,1950,1026,1030,1010,48,1016.1469900243552,Under 1600,75,Inactive,Club Player
71755690,Player_Under 1600_0064,None,ITA,M,1989,1114,1121,1119,54,1091.0603254431364,Under 1600,36,Active,Club Player
57147376,Player_Under 1600_0065,None,FRA,M,1967,1100,1026,1076,19,1048.607483001413,Under 1600,58,Inactive,Club Player
43520373,Player_Under 1600_0066,None,UKR,M,1966,1533,1442,1478,54,1539.9930524927595,Under 1600,59,Active,Club Player
62336545,Player_Under 1600_0067,None,RUS,F,1971,1323,1254,1290,91,1280.9158805144637,Under 1600,54,Active,Club Player
66476895,Player_Under 1600_0068,None,USA,M,2010,974,902,879,12,1011.9180796777832,Under 1600,15,Inactive,Club Player
60715861,Player_Under 1600_0069,None,Other,M,2002,1044,996,1004,42,1040.8559833134932,Under 1600,23,Active,Club Player
29219038,Player_Under 1600_0070,None,GER,M,1993,1072,1062,1044,31,1074.2609182459078,Under 1600,32,Active,Club Player
60055950,Player_Under 1600_0071,None,GER,M,1951,1359,1265,1277,14,1357.37245774678,Under 1600,74,Inactive,Club Player
45735977,Player_Under 1600_0072,None,UKR,M,1975,1442,1464,1499,68,1467.4674050122017,Under 1600,50,Active,Club Player
40853307,Player_Under 1600_0073,None,JPN,M,1999,1087,1053,1125,86,1100.5553690889203,Under 1600,26,Active,Club Player
26589067,Player_Under 1600_0074,None,JPN,M,2004,966,911,909,54,962.2014050730514,Under 1600,21,Active,Club Player
51880985,Player_Under 1600_0075,None,JPN,F,1969,1300,1272,1346,79,1335.1968867504029,Under 1600,56,Active,Club Player
12628800,Player_Under 1600_0076,None,TUR,M,2008,1118,1029,1097,77,1143.3256725335364,Under 1600,17,Active,Club Player
53484257,Player_Under 1600_0077,CM,NED,M,1956,1057,964,942,36,1060.8060982851946,Under 1600,69,Active,Titled
45156315,Player_Under 1600_0078,None,KOR,M,1987,1062,1023,967,19,1035.5038489340234,Under 1600,38,Inactive,Club Player
16975804,Player_Under 1600_0079,None,NOR,M,2006,1389,1297,1259,89,1420.4263952651281,Under 1600,19,Active,Club Player
20568315,Player_Under 1600_0080,None,CHN,M,1951,1182,1088,1050,59,1200.3936959043333,Under 1600,74,Inactive,Club Player
56245470,Player_Under 1600_0081,None,JPN,M,1984,1592,1626,1595,82,1582.7522589140199,Under 1600,41,Active,Club Player
69365048,Player_Under 1600_0082,None,NOR,M,1960,908,820,874,73,913.8130397052786,Under 1600,65,Active,Club Player
62124277,Player_Under 1600_0083,None,USA,M,1955,1118,1143,1107,97,1082.8877037780398,Under 1600,70,Inactive,Club Player
79526665,Player_Under 1600_0084,None,UKR,M,1958,1370,1351,1327,81,1391.3217751330285,Under 1600,67,Active,Club Player
60656802,Player_Under 1600_0085,FM,NED,M,2009,934,972,961,80,887.9084331434836,Under 1600,16,Active,Titled
15100045,Player_Under 1600_0086,CM,CAN,M,2008,1003,927,958,21,1021.6975901232275,Under 1600,17,Active,Titled
83416420,Player_Under 1600_0087,FM,NED,M,1952,1494,1473,1493,91,1491.1006768374507,Under 1600,73,Inactive,Titled
41598773,Player_Under 1600_0088,None,ESP,M,2001,1331,1359,1366,26,1339.682539512974,Under 1600,24,Active,Club Player
32056890,Player_Under 1600_0089,None,ITA,M,1972,1577,1491,1419,69,1556.4436467661294,Under 1600,53,Active,Club Player
45272221,Player_Under 1600_0090,None,IND,F,2004,1047,1071,1002,45,1057.4042076565743,Under 1600,21,Active,Club Player
88871395,Player_Under 1600_0091,None,CAN,M,2007,1563,1551,1551,90,1585.729837451488,Under 1600,18,Active,Club Player
23837898,Player_Under 1600_0092,None,GER,M,1981,1561,1565,1590,10,1551.4178668859204,Under 1600,44,Inactive,Club Player
94707294,Player_Under 1600_0093,CM,Other,M,1983,1138,1126,1080,19,1126.0971166563393,Under 1600,42,Inactive,Titled
81207472,Player_Under 1600_0094,None,TUR,M,2007,1215,1240,1229,33,1215.603095657808,Under 1600,18,Active,Club Player
47527155,Player_Under 1600_0095,None,CAN,M,1959,1171,1100,1143,72,1154.7044121415447,Under 1600,66,Active,Club Player
10074398,Player_Under 1600_0096,None,TUR,M,1993,1358,1352,1274,10,1346.2655025034728,Under 1600,32,Inactive,Club Player
90732930,Player_Under 1600_0097,CM,ARG,M,2001,1598,1628,1579,75,1647.8283137673413,Under 1600,24,Active,Titled
58548108,Player_Under 1600_0098,None,BRA,M,1978,1137,1159,1125,95,1128.8249933740528,Under 1600,47,Active,Club Player
77838656,Player_Under 1600_0099,None,CHN,M,1993,1339,1338,1289,84,1307.831686655174,Under 1600,32,Active,Club Player
53865650,Player_Under 1600_0100,None,RUS,M,1991,974,882,813,12,917.489638485676,Under 1600,34,Inactive,Club Player
39058910,Player_Under 1600_0101,None,FRA,M,2001,1116,1074,1074,58,1099.1941310115367,Under 1600,24,Active,Club Player
54326446,Player_Under 1600_0102,None,ESP,F,1953,1261,1228,1181,25,1243.995651523909,Under 1600,72,Inactive,Club Player
77709894,Player_Under 1600_0103,None,NOR,M,1998,1230,1224,1266,65,1220.2892566541766,Under 1600,27,Active,Club Player
93756232,Player_Under 1600_0104,None,NED,M,1996,1353,1316,1277,51,1324.0033248883499,Under 1600,29,Active,Club Player
21821806,Player_Under 1600_0105,GM,NOR,M,2004,1500,1435,1412,17,1511.6807784964021,Under 1600,21,Inactive,Master
95661435,Player_Under 1600_0106,None,NOR,F,1961,1033,1024,975,41,973.3968471290016,Under 1600,64,Active,Club Player
40317148,Player_Under 1600_0107,None,CHN,M,1977,1523,1461,1447,20,1544.301998311256,Under 1600,48,Inactive,Club Player
97558227,Player_Under 1600_0108,None,Other,F,1969,1404,1375,1389,96,1407.2329007498474,Under 1600,56,Active,Club Player
74516559,Player_Under 1600_0109,None,JPN,M,2006,1271,1175,1202,10,1304.0073464561333,Under 1600,19,Inactive,Club Player
24741052,Player_Under 1600_0110,None,KOR,M,1972,1140,1060,1132,62,1155.8740983407238,Under 1600,53,Active,Club Player
83738410,Player_Under 1600_0111,None,JPN,F,1993,1157,1087,1049,71,1197.6982837292285,Under 1600,32,Active,Club Player
42001685,Player_Under 1600_0112,None,NOR,M,1978,1032,1053,977,57,1035.1530752787835,Under 1600,47,Active,Club Player
70422837,Player_Under 1600_0113,None,NOR,M,1976,997,1022,1066,56,1006.6350750388851,Under 1600,49,Active,Club Player
77020601,Player_Under 1600_0114,None,ITA,M,1983,1190,1166,1201,53,1154.592438843633,Under 1600,42,Active,Club Player
82632225,Player_Under 1600_0115,None,NED,F,1970,1379,1287,1337,30,1373.9438863411217,Under 1600,55,Active,Club Player
20022757,Player_Under 1600_0116,None,ITA,M,1987,1017,1036,1101,49,979.0309917789228,Under 1600,38,Active,Club Player
72969741,Player_Under 1600_0117,None,Other,M,1952,991,1007,1059,15,1017.7225082079343,Under 1600,73,Inactive,Club Player
25712304,Player_Under 1600_0118,CM,GER,M,1975,832,874,903,91,831.9856362186181,Under 1600,50,Active,Titled
86152987,Player_Under 1600_0119,None,JPN,M,1961,1337,1274,1292,78,1281.4869390527745,Under 1600,64,Active,Club Player
27917494,Player_Under 1600_0120,None,GBR,F,1968,1033,1010,1071,29,1043.7008007193817,Under 1600,57,Active,Club Player
91885945,Player_Under 1600_0121,None,ITA,M,1998,1279,1323,1367,53,1286.2855856815738,Under 1600,27,Active,Club Player
21096355,Player_Under 1600_0122,None,TUR,F,1997,828,800,800,16,844.7244398340557,Under 1600,28,Inactive,Club Player
19652942,Player_Under 1600_0123,CM,NED,F,1995,1217,1127,1079,73,1274.248011732531,Under 1600,30,Active,Titled
22326726,Player_Under 1600_0124,None,USA,F,1959,1208,1214,1161,87,1215.3940323995466,Under 1600,66,Active,Club Player
84472474,Player_Under 1600_0125,None,POL,M,1976,1443,1348,1351,15,1474.2788644629345,Under 1600,49,Inactive,Club Player
49651972,Player_Under 1600_0126,None,USA,M,1979,858,800,800,61,853.7243131918993,Under 1600,46,Active,Club Player
82703891,Player_Under 1600_0127,None,FRA,F,1989,1180,1128,1132,89,1170.044249798736,Under 1600,36,Active,Club Player
21047818,Player_Under 1600_0128,None,TUR,M,1955,852,826,800,35,867.4997371557141,Under 1600,70,Inactive,Club Player
57917605,Player_Under 1600_0129,None,NED,M,1996,1287,1270,1339,62,1309.9675976596775,Under 1600,29,Active,Club Player
91040675,Player_Under 1600_0130,CM,TUR,M,1982,1377,1393,1330,71,1357.1644301000483,Under 1600,43,Active,Titled
74506293,Player_Under 1600_0131,None,GER,F,1981,843,868,813,52,874.3925554675627,Under 1600,44,Active,Club Player
45461818,Player_Under 1600_0132,None,NED,M,1988,1003,980,931,70,981.4344554374265,Under 1600,37,Active,Club Player
70038085,Player_Under 1600_0133,CM,CAN,F,1994,917,911,916,12,906.1429197759202,Under 1600,31,Inactive,Titled
90312407,Player_Under 1600_0134,None,CAN,M,1979,1021,1053,1082,82,1026.0814944152282,Under 1600,46,Active,Club Player
35612685,Player_Under 1600_0135,None,Other,M,1954,1167,1168,1113,21,1171.9348603016906,Under 1600,71,Inactive,Club Player
27561268,Player_Under 1600_0136,None,POL,F,1998,971,923,963,68,976.9858564507656,Under 1600,27,Active,Club Player
63614089,Player_Under 1600_0137,None,Other,M,1978,1294,1265,1237,44,1283.4578629705122,Under 1600,47,Active,Club Player
85007576,Player_Under 1600_0138,FM,ITA,F,1998,1193,1182,1102,77,1175.2840852575437,Under 1600,27,Active,Titled
12374337,Player_Under 1600_0139,None,UKR,M,2000,1211,1131,1186,43,1206.8164408469556,Under 1600,25,Active,Club Player
20648993,Player_Under 1600_0140,None,CAN,M,1978,914,935,1001,76,905.314413551273,Under 1600,47,Active,Club Player
95857114,Player_Under 1600_0141,None,RUS,M,1955,1591,1498,1442,11,1597.9390476259973,Under 1600,70,Inactive,Club Player
34603444,Player_Under 1600_0142,None,CAN,M,1955,863,800,836,91,864.6279024871727,Under 1600,70,Inactive,Club Player
28291621,Player_Under 1600_0143,CM,NOR,M,1968,938,961,964,28,956.7461998654059,Under 1600,57,Active,Titled
59497044,Player_Under 1600_0144,None,RUS,F,2006,1126,1027,1052,81,1111.8986457779592,Under 1600,19,Active,Club Player
99859872,Player_Under 1600_0145,None,NOR,M,1991,1077,1034,1026,98,1070.9045919685236,Under 1600,34,Active,Club Player
49634723,Player_Under 1600_0146,None,CHN,M,1996,1116,1092,1137,69,1152.376504534965,Under 1600,29,Active,Club Player
96773599,Player_Under 1600_0147,CM,RUS,M,1975,1062,984,908,54,1070.343484873835,Under 1600,50,Active,Titled
54814271,Player_Under 1600_0148,None,NOR,M,1966,850,800,800,26,820.772967567045,Under 1600,59,Active,Club Player
60074246,Player_Under 1600_0149,None,ARG,M,2008,1026,988,973,25,1041.0089087753606,Under 1600,17,Active,Club Player
20388383,Player_Under 1600_0150,None,TUR,M,1961,1078,1096,1032,42,1079.6692015917447,Under 1600,64,Active,Club Player
74064422,Player_Under 1600_0151,None,POL,M,1951,1120,1093,1159,48,1092.3300804129424,Under 1600,74,Inactive,Club Player
52734969,Player_Under 1600_0152,None,KOR,F,1971,1363,1327,1323,68,1339.112975936664,Under 1600,54,Active,Club Player
43634843,Player_Under 1600_0153,None,KOR,M,2008,1073,1119,1179,14,1078.5477008806602,Under 1600,17,Inactive,Club Player
35328544,Player_Under 1600_0154,None,UKR,F,1983,1538,1447,1503,70,1546.3781143128983,Under 1600,42,Active,Club Player
90993002,Player_Under 1600_0155,CM,GBR,M,1976,1263,1266,1210,71,1261.1081200679143,Under 1600,49,Active,Titled
94440885,Player_Under 1600_0156,None,ITA,M,1983,1471,1386,1372,67,1469.5142031699097,Under 1600,42,Active,Club Player
86140230,Player_Under 1600_0157,None,GBR,M,1953,1500,1462,1405,49,1490.5910785639749,Under 1600,72,Inactive,Club Player
51029595,Player_Under 1600_0158,None,ITA,M,1989,998,921,947,99,1026.2068245000114,Under 1600,36,Active,Club Player
50609993,Player_Under 1600_0159,None,CHN,F,2007,1184,1175,1229,35,1206.6621570514671,Under 1600,18,Active,Club Player
14738706,Player_Under 1600_0160,None,ITA,M,1986,962,919,983,15,917.5774965657122,Under 1600,39,Inactive,Club Player
31933101,Player_Under 1600_0161,None,NOR,M,1965,1402,1375,1297,66,1368.2156783169185,Under 1600,60,Active,Club Player
93286146,Player_Under 1600_0162,None,NOR,M,2000,1315,1223,1184,44,1323.987835028697,Under 1600,25,Active,Club Player
86878908,Player_Under 1600_0163,None,RUS,M,1951,1299,1313,1278,78,1273.2666046449926,Under 1600,74,Inactive,Club Player
78358825,Player_Under 1600_0164,None,UKR,M,1986,1084,1055,1084,90,1055.527618882175,Under 1600,39,Active,Club Player
44615377,Player_Under 1600_0165,None,NOR,M,1968,1540,1447,1487,36,1545.9293533508944,Under 1600,57,Active,Club Player
90927917,Player_Under 1600_0166,CM,BRA,M,1991,1059,1038,1094,90,1057.2006651047334,Under 1600,34,Active,Titled
27825885,Player_Under 1600_0167,None,Other,M,1977,1573,1616,1662,23,1576.6663932669692,Under 1600,48,Active,Club Player
31623716,Player_Under 1600_0168,None,RUS,M,1954,1510,1518,1474,72,1489.3905315279192,Under 1600,71,Inactive,Club Player
21724786,Player_Under 1600_0169,CM,NOR,M,1962,1345,1359,1359,30,1324.7547422520192,Under 1600,63,Active,Titled
81944495,Player_Under 1600_0170,None,CAN,M,1984,1335,1270,1222,64,1337.6367436101507,Under 1600,41,Active,Club Player
70920761,Player_Under 1600_0171,None,TUR,M,1965,1423,1407,1469,85,1423.4606192622275,Under 1600,60,Active,Club Player
99748284,Player_Under 1600_0172,None,IND,M,1993,1347,1378,1313,92,1346.3322372794007,Under 1600,32,Active,Club Player
92198432,Player_Under 1600_0173,None,BRA,M,2006,1168,1077,1121,70,1146.841247026891,Under 1600,19,Active,Club Player
57545330,Player_Under 1600_0174,None,ARG,M,1985,941,973,910,40,948.2297656394509,Under 1600,40,Active,Club Player
17039634,Player_Under 1600_0175,None,UKR,M,2010,1324,1363,1362,31,1325.7387534075633,Under 1600,15,Active,Club Player
98420075,Player_Under 1600_0176,CM,TUR,F,1985,1530,1529,1597,46,1562.4653979373163,Under 1600,40,Active,Titled
49341597,Player_Under 1600_0177,None,NOR,M,1985,1554,1481,1558,45,1541.5354772846927,Under 1600,40,Active,Club Player
50437862,Player_Under 1600_0178,CM,RUS,M,1998,1240,1198,1173,31,1263.320191131212,Under 1600,27,Active,Titled
59425752,Player_Under 1600_0179,None,GER,M,1950,868,874,834,60,844.4644047421507,Under 1600,75,Inactive,Club Player
94004773,Player_Under 1600_0180,None,TUR,F,1977,1244,1171,1222,61,1250.8610056552761,Under 1600,48,Active,Club Player
65190917,Player_Under 1600_0181,None,UKR,M,1967,1098,1010,1055,91,1071.6986676393665,Under 1600,58,Active,Club Player
58844334,Player_Under 1600_0182,None,KOR,M,1953,1096,1048,1048,43,1119.6287396436728,Under 1600,72,Inactive,Club Player
89713704,Player_Under 1600_0183,None,Other,M,2005,1460,1477,1521,81,1471.3977653202385,Under 1600,20,Active,Club Player
40118933,Player_Under 1600_0184,None,UKR,F,1989,1483,1512,1435,83,1475.5143194636664,Under 1600,36,Active,Club Player
13468197,Player_Under 1600_0185,None,NOR,M,1991,1525,1470,1528,25,1521.507764902901,Under 1600,34,Active,Club Player
51698362,Player_Under 1600_0186,None,GER,M,1981,1187,1124,1046,62,1195.5769106809687,Under 1600,44,Active,Club Player
64803113,Player_Under 1600_0187,None,NED,M,1959,801,827,859,27,814.3178337927586,Under 1600,66,Active,Club Player
55983123,Player_Under 1600_0188,None,NOR,M,1983,1231,1205,1194,84,1261.98693095038,Under 1600,42,Active,Club Player
87666390,Player_Under 1600_0189,None,JPN,M,1970,1360,1324,1397,92,1349.8013611339877,Under 1600,55,Active,Club Player
24911480,Player_Under 1600_0190,None,CHN,M,2000,823,816,800,65,807.5608978416248,Under 1600,25,Active,Club Player
88458029,Player_Under 1600_0191,None,CAN,M,1952,1153,1115,1141,15,1224.901965201257,Under 1600,73,Inactive,Club Player
10180830,Player_Under 1600_0192,None,NOR,F,1969,1410,1383,1428,66,1387.2733394820616,Under 1600,56,Active,Club Player
56021009,Player_Under 1600_0193,None,RUS,M,1969,1012,940,1017,30,1019.872455845899,Under 1600,56,Active,Club Player
18999392,Player_Under 1600_0194,None,GER,F,1952,1466,1514,1478,39,1492.598193896658,Under 1600,73,Inactive,Club Player
66891333,Player_Under 1600_0195,None,POL,M,2000,840,879,931,69,774.7196837913574,Under 1600,25,Active,Club Player
53796205,Player_Under 1600_0196,None,ARG,M,1999,909,853,908,77,940.4598900269858,Under 1600,26,Active,Club Player
56384602,Player_Under 1600_0197,None,FRA,F,1997,1101,1023,944,70,1122.0067602037605,Under 1600,28,Active,Club Player
69258023,Player_Under 1600_0198,CM,USA,M,1994,1057,1005,1054,32,1045.2160452000348,Under 1600,31,Active,Titled
82747503,Player_Under 1600_0199,None,NED,M,1963,1596,1550,1625,45,1584.6077793838588,Under 1600,62,Active,Club Player
24244171,Player_Under 1600_0200,None,GBR,F,1964,1171,1174,1205,38,1174.314056534206,Under 1600,61,Active,Club Player
90298093,Player_Under 1600_0201,None,CAN,M,1959,896,848,925,57,952.2048086947776,Under 1600,66,Active,Club Player
84891882,Player_Under 1600_0202,None,POL,M,1954,1334,1282,1352,48,1357.6790761325287,Under 1600,71,Inactive,Club Player
57592501,Player_Under 1600_0203,None,KOR,M,1951,1451,1444,1444,84,1432.8963873257635,Under 1600,74,Inactive,Club Player
91896015,Player_Under 1600_0204,None,ESP,M,1995,1484,1403,1343,16,1469.9669616090619,Under 1600,30,Inactive,Club Player
84254040,Player_Under 1600_0205,None,BRA,F,1956,1337,1366,1309,84,1323.386647218901,Under 1600,69,Active,Club Player
70527118,Player_Under 1600_0206,None,POL,F,1965,1019,1069,1047,24,1032.8491338540143,Under 1600,60,Active,Club Player
78592956,Player_Under 1600_0207,CM,POL,M,1985,1540,1487,1462,47,1595.074995914955,Under 1600,40,Active,Titled
99291529,Player_Under 1600_0208,None,FRA,M,2007,1211,1241,1244,24,1207.6910016682052,Under 1600,18,Active,Club Player
86348989,Player_Under 1600_0209,FM,TUR,F,2008,999,937,930,42,1008.0607047099304,Under 1600,17,Active,Titled
66997632,Player_Under 1600_0210,None,KOR,M,1972,831,800,800,99,837.6131498849193,Under 1600,53,Active,Club Player
27487212,Player_Under 1600_0211,None,RUS,M,1999,1206,1185,1105,91,1258.6393944658648,Under 1600,26,Active,Club Player
42266062,Player_Under 1600_0212,CM,ITA,M,1990,970,944,911,67,935.0176977464432,Under 1600,35,Active,Titled
99159022,Player_Under 1600_0213,None,USA,M,1962,1314,1356,1303,67,1304.691970834032,Under 1600,63,Active,Club Player
76812506,Player_Under 1600_0214,None,ARG,M,1982,1197,1189,1124,43,1213.6887086982094,Under 1600,43,Active,Club Player
90947703,Player_Under 1600_0215,None,KOR,M,1967,1504,1455,1530,55,1481.9356728962919,Under 1600,58,Active,Club Player
28384382,Player_Under 1600_0216,None,CAN,M,1974,1212,1112,1130,52,1188.7869064033819,Under 1600,51,Active,Club Player
45096143,Player_Under 1600_0217,None,USA,M,1961,1590,1507,1529,65,1673.2257663243217,Under 1600,64,Active,Club Player
63949663,Player_Under 1600_0218,None,FRA,M,1966,968,963,970,36,973.1062258932662,Under 1600,59,Active,Club Player
86829414,Player_Under 1600_0219,None,TUR,M,1985,1020,1027,1048,50,999.0666503895543,Under 1600,40,Active,Club Player
22752393,Player_Under 1600_0220,None,IND,M,1961,1478,1385,1457,94,1487.9709306588989,Under 1600,64,Active,Club Player
32330345,Player_Under 1600_0221,None,USA,M,1988,1344,1371,1350,11,1332.2257827389597,Under 1600,37,Inactive,Club Player
70583212,Player_Under 1600_0222,None,USA,M,1951,1405,1388,1463,47,1373.3254617713026,Under 1600,74,Inactive,Club Player
